Year,Month,Abs_Temp
1932,9,15.185
1932,10,14.225
1932,11,12.937000000000001
1932,12,12.316
1933,1,11.976
1933,2,12.168
1933,3,12.753
1933,4,13.72
1933,5,14.652
1933,6,15.278
1933,7,15.647
1933,8,15.553
1933,9,14.839
1933,10,14.031
1933,11,12.871
1933,12,12.078000000000001
1934,1,11.971
1934,2,12.356
1934,3,12.690000000000001
1934,4,13.657
1934,5,14.806
1934,6,15.497
1934,7,15.783
1934,8,15.62
1934,9,15.004999999999999
1934,10,14.221
1934,11,13.294
1934,12,12.455
1935,1,11.859000000000002
1935,2,12.513
1935,3,12.903
1935,4,13.679
1935,5,14.618
1935,6,15.437000000000001
1935,7,15.725999999999999
1935,8,15.541
1935,9,14.955
1935,10,14.224
1935,11,12.852
1935,12,12.305
1936,1,11.937000000000001
1936,2,12.116999999999999
1936,3,12.752
1936,4,13.806000000000001
1936,5,14.780999999999999
1936,6,15.501000000000001
1936,7,15.852
1936,8,15.642
1936,9,15.059
1936,10,14.303
1936,11,13.17
1936,12,12.52
1937,1,12.159
1937,2,12.513
1937,3,12.915000000000001
1937,4,13.894
1937,5,14.908999999999999
1937,6,15.672
1937,7,15.946
1937,8,15.801
1937,9,15.309
1937,10,14.41
1937,11,13.32
1937,12,12.467
1938,1,12.303
1938,2,12.509
1938,3,13.14
1938,4,14.041
1938,5,14.85
1938,6,15.525
1938,7,15.856
1938,8,15.735
1938,9,15.23
1938,10,14.475
1938,11,13.306000000000001
1938,12,12.378
1939,1,12.181000000000001
1939,2,12.347
1939,3,12.853
1939,4,13.973
1939,5,15.023
1939,6,15.675
1939,7,15.882
1939,8,15.72
1939,9,15.145
1939,10,14.184
1939,11,13.177
1939,12,12.912
1940,1,12.284
1940,2,12.549
1940,3,13.137
1940,4,14.112
1940,5,14.988
1940,6,15.677
1940,7,16.049
1940,8,15.82
1940,9,15.263
1940,10,14.31
1940,11,13.185
1940,12,12.705
1941,1,12.211
1941,2,12.568999999999999
1941,3,13.001000000000001
1941,4,13.959
1941,5,14.962
1941,6,15.705
1941,7,16.048
1941,8,15.742
1941,9,14.981
1941,10,14.475
1941,11,13.212
1941,12,12.681000000000001
1942,1,12.56
1942,2,12.446
1942,3,13.138
1942,4,13.993
1942,5,15.02
1942,6,15.691
1942,7,15.897
1942,8,15.682
1942,9,15.110999999999999
1942,10,14.272
1942,11,13.244
1942,12,12.589
1943,1,12.172
1943,2,12.561
1943,3,13.015
1943,4,14.111
1943,5,15.029
1943,6,15.622
1943,7,16.0
1943,8,15.848
1943,9,15.197
1943,10,14.571
1943,11,13.406
1943,12,12.751000000000001
1944,1,12.603000000000002
1944,2,12.681
1944,3,13.323
1944,4,14.159
1944,5,15.110999999999999
1944,6,15.755
1944,7,16.082
1944,8,15.967
1944,9,15.366
1944,10,14.536
1944,11,13.307
1944,12,12.613
1945,1,12.315000000000001
1945,2,12.413
1945,3,13.147
1945,4,14.192
1945,5,14.953999999999999
1945,6,15.657
1945,7,15.915
1945,8,15.98
1945,9,15.281
1945,10,14.469
1945,11,13.238
1945,12,12.419
1946,1,12.268
1946,2,12.382
1946,3,13.085
1946,4,14.052
1946,5,14.878
1946,6,15.450000000000001
1946,7,15.846
1946,8,15.585
1946,9,15.049
1946,10,14.234
1946,11,13.159
1946,12,12.228
1947,1,12.216000000000001
1947,2,12.455
1947,3,13.179
1947,4,14.054
1947,5,14.884
1947,6,15.596
1947,7,15.877
1947,8,15.635
1947,9,15.065999999999999
1947,10,14.37
1947,11,13.3
1947,12,12.42
1948,1,12.297
1948,2,12.266
1948,3,12.839
1948,4,13.886000000000001
1948,5,14.988999999999999
1948,6,15.68
1948,7,15.814
1948,8,15.693
1948,9,15.023
1948,10,14.215
1948,11,13.033000000000001
1948,12,12.184000000000001
1949,1,12.299000000000001
1949,2,12.235999999999999
1949,3,12.976
1949,4,13.879
1949,5,14.859
1949,6,15.41
1949,7,15.752
1949,8,15.645
1949,9,15.013
1949,10,14.227
1949,11,13.104000000000001
1949,12,12.42
1950,1,11.992
1950,2,12.100999999999999
1950,3,12.942
1950,4,13.776
1950,5,14.873
1950,6,15.632
1950,7,15.897
1950,8,15.574
1950,9,14.983
1950,10,14.081
1950,11,12.891
1950,12,12.297
1951,1,11.877
1951,2,12.02
1951,3,12.913
1951,4,13.955
1951,5,15.099
1951,6,15.789
1951,7,15.963
1951,8,15.937
1951,9,15.276
1951,10,14.46
1951,11,13.234
1951,12,12.681000000000001
1952,1,12.404000000000002
1952,2,12.588
1952,3,12.989
1952,4,14.073
1952,5,15.006
1952,6,15.749
1952,7,16.044
1952,8,15.867
1952,9,15.301
1952,10,14.321
1952,11,13.141
1952,12,12.567
1953,1,12.31
1953,2,12.625
1953,3,13.162
1953,4,14.292
1953,5,15.196
1953,6,15.905000000000001
1953,7,16.054
1953,8,15.9
1953,9,15.298
1953,10,14.376
1953,11,13.225
1953,12,12.621
1954,1,12.003
1954,2,12.366999999999999
1954,3,12.965
1954,4,13.976
1954,5,14.914
1954,6,15.611
1954,7,15.812
1954,8,15.679
1954,9,15.103
1954,10,14.345
1954,11,13.392000000000001
1954,12,12.414
1955,1,12.425
1955,2,12.298
1955,3,12.790000000000001
1955,4,13.841000000000001
1955,5,14.76
1955,6,15.601
1955,7,15.822
1955,8,15.885
1955,9,15.017
1955,10,14.26
1955,11,12.99
1955,12,12.249
1956,1,12.139000000000001
1956,2,12.275
1956,3,12.834
1956,4,13.752
1956,5,14.679
1956,6,15.52
1956,7,15.822
1956,8,15.455
1956,9,14.959
1956,10,13.973
1956,11,13.057
1956,12,12.476
1957,1,12.094000000000001
1957,2,12.391
1957,3,12.963000000000001
1957,4,14.023
1957,5,15.074
1957,6,15.847
1957,7,15.901
1957,8,15.901
1957,9,15.263
1957,10,14.348
1957,11,13.288
1957,12,12.628
1958,1,12.573
1958,2,12.621
1958,3,13.164
1958,4,14.001000000000001
1958,5,15.011999999999999
1958,6,15.587
1958,7,15.911
1958,8,15.685
1958,9,15.065999999999999
1958,10,14.297
1958,11,13.286
1958,12,12.571
1959,1,12.326
1959,2,12.472
1959,3,13.191
1959,4,14.167
1959,5,15.038
1959,6,15.737
1959,7,15.952
1959,8,15.752
1959,9,15.073
1959,10,14.236
1959,11,13.098
1959,12,12.505
1960,1,12.211
1960,2,12.542
1960,3,12.719000000000001
1960,4,13.83
1960,5,14.878
1960,6,15.643
1960,7,15.875
1960,8,15.838
1960,9,15.244
1960,10,14.318
1960,11,13.066
1960,12,12.704
1961,1,12.272
1961,2,12.603
1961,3,13.087
1961,4,14.127
1961,5,15.11
1961,6,15.779
1961,7,15.943999999999999
1961,8,15.77
1961,9,15.232
1961,10,14.212
1961,11,13.25
1961,12,12.362
1962,1,12.276000000000002
1962,2,12.546
1962,3,13.174000000000001
1962,4,14.024000000000001
1962,5,14.825
1962,6,15.665000000000001
1962,7,15.855
1962,8,15.691
1962,9,15.09
1962,10,14.218
1962,11,13.241
1962,12,12.491
1963,1,12.202000000000002
1963,2,12.544
1963,3,12.829
1963,4,13.905000000000001
1963,5,14.846
1963,6,15.628
1963,7,15.994
1963,8,16.009
1963,9,15.359
1963,10,14.388
1963,11,13.342
1963,12,12.523
1964,1,12.14
1964,2,12.311
1964,3,12.758000000000001
1964,4,13.635
1964,5,14.657
1964,6,15.611
1964,7,15.829
1964,8,15.472
1964,9,14.84
1964,10,13.97
1964,11,12.98
1964,12,12.249
1965,1,12.185
1965,2,12.264
1965,3,12.873000000000001
1965,4,13.785
1965,5,14.857
1965,6,15.558
1965,7,15.771
1965,8,15.693
1965,9,14.982
1965,10,14.242
1965,11,13.167
1965,12,12.481
1966,1,12.061000000000002
1966,2,12.395999999999999
